2024-01-10 14:36:31 INFO  FileTypeIdentifier:15 - Start
  2024-01-10 15:06:46 INFO  FileTypeIdentifier:14 - Start.
  2024-01-10 15:06:46 INFO  FileTypeIdentifier:16 - Открытие проводника.
  2024-01-10 15:06:55 INFO  FileTypeIdentifier:24 - Файл выбран.
  2024-01-10 15:06:55 INFO  FileTypeIdentifier:14 - Процесс копирования файла.
  2024-01-10 15:06:55 INFO  FileTypeIdentifier:35 - Файл успешно скопирован.
  2024-01-10 15:06:55 INFO  FileTypeIdentifier:20 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 15:06:55 INFO  FileTypeIdentifier:54 - Корректное расширение установлено: RAR
  2024-01-10 15:06:55 INFO  FileTypeIdentifier:62 - Проверка расширений на совпадение.
  2024-01-10 15:06:55 INFO  FileTypeIdentifier:51 - Выбранный файл не поврежден. Программа завершена.
  2024-01-10 15:06:55 INFO  FileTypeIdentifier:16 - Отображение расширения неповрежденного файла в JFrame.
  2024-01-10 15:07:46 INFO  FileTypeIdentifier:14 - Start.
  2024-01-10 15:07:46 INFO  FileTypeIdentifier:16 - Открытие проводника.
  2024-01-10 15:07:50 INFO  FileTypeIdentifier:71 - Файл не выбран. Программа завершена.
  2024-01-10 15:07:55 INFO  FileTypeIdentifier:14 - Start.
  2024-01-10 15:07:55 INFO  FileTypeIdentifier:16 - Открытие проводника.
  2024-01-10 15:08:04 INFO  FileTypeIdentifier:24 - Файл выбран.
  2024-01-10 15:08:04 INFO  FileTypeIdentifier:14 - Процесс копирования файла.
  2024-01-10 15:08:04 INFO  FileTypeIdentifier:35 - Файл успешно скопирован.
  2024-01-10 15:08:04 INFO  FileTypeIdentifier:20 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 15:08:04 INFO  FileTypeIdentifier:54 - Корректное расширение установлено: null
  2024-01-10 15:08:04 INFO  FileTypeIdentifier:62 - Проверка расширений на совпадение.
  2024-01-10 15:08:04 INFO  FileTypeIdentifier:63 - Не удалось определить расширение файла. Программа завершена.
  2024-01-10 15:12:35 INFO  FileTypeIdentifier:14 - Start.
  2024-01-10 15:12:35 INFO  FileTypeIdentifier:16 - Открытие проводника.
  2024-01-10 15:12:44 INFO  FileTypeIdentifier:24 - Файл выбран.
  2024-01-10 15:12:44 INFO  FileTypeIdentifier:14 - Процесс копирования файла.
  2024-01-10 15:12:44 INFO  FileTypeIdentifier:35 - Файл успешно скопирован.
  2024-01-10 15:12:44 INFO  FileTypeIdentifier:20 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 15:12:44 INFO  FileTypeIdentifier:53 - Корректное расширение установлено: RAR
  2024-01-10 15:12:44 INFO  FileTypeIdentifier:70 - Проверка расширений на совпадение.
  2024-01-10 15:12:44 INFO  FileTypeIdentifier:51 - Выбранный файл не поврежден. Программа завершена.
  2024-01-10 15:12:44 INFO  FileTypeIdentifier:16 - Отображение расширения неповрежденного файла в JFrame.
  2024-01-10 15:13:10 INFO  FileTypeIdentifier:14 - Start.
  2024-01-10 15:13:10 INFO  FileTypeIdentifier:16 - Открытие проводника.
  2024-01-10 15:13:20 INFO  FileTypeIdentifier:24 - Файл выбран.
  2024-01-10 15:13:20 INFO  FileTypeIdentifier:14 - Процесс копирования файла.
  2024-01-10 15:13:20 INFO  FileTypeIdentifier:35 - Файл успешно скопирован.
  2024-01-10 15:13:20 INFO  FileTypeIdentifier:20 - Процесс представления файла в HEX формате и поиск корректного расширения.
